pony,pónei,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,botos,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,gato,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,guaxinim,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,rena,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
rhea,ema,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
scorpion,escorpião,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
seahorse,cavalo-marinho,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
seal,focas,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,leão marinho,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
seasnake,cobra dgua,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
seawasp,cnidários,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
skimmer,bico de tesoura,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skua,mandrião,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
slowworm,licranço,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
slug,lesma,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
sole,solha,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sparrow,pardal,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
squirrel,esquilo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
starfish,estrela-do-mar,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
stingray,raias,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,cisne,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,cupim,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,sapo,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,jabuti,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,atum,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,morcego,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,abutre,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,wallabe,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,vespa,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,lobo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,verme,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,Troglodytinae,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
